No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univâ²,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
29,Julius Brents,23,CB,0,0,202,,IowaKansas St.,1/18/2000,Rook,,Indianapolis Colts / 2nd / 44th pick / 2023,BrenJu00
16,Ashton Dulin (IR),26,WR,0,0,215,6-1,Malone,5/15/1997,4,,,DuliAs00
34,Jake Funk,25,RB,1,0,205,5-10,Maryland,1/11/1998,2,,Los Angeles Rams / 7th / 233rd pick / 2021,FunkJa00
20,Nick Cross,22,S,1,0,210,6-1,Maryland,9/10/2001,1,,Indianapolis Colts / 3rd / 96th pick / 2022,CrosNi00
92,Genard Avery (IR),28,DE,0,0,250,6-0,Memphis,4/26/1995,5,,Cleveland Browns / 5th / 150th pick / 2018,AverGe00
86,Will Mallory,24,TE,0,0,245,,Miami (FL),6/22/1999,Rook,,Indianapolis Colts / 5th / 162nd pick / 2023,MallWi00
51,Kwity Paye,25,DE,1,1,261,6-2,Michigan,11/19/1998,2,,Indianapolis Colts / 1st / 21st pick / 2021,PayeKw00
59,Cameron McGrone,23,LB,1,0,236,6-1,Michigan,6/22/2000,1,,New England Patriots / 5th / 177th pick / 2021,McGrCa00
71,Ryan Hayes,23,T,0,0,305,,Michigan,2/28/2000,Rook,,Miami Dolphins / 7th / 238th pick / 2023,HayeRy00
76,Jake Witt (IR),23,T,0,0,282,6-7,Michigan TechNorthern Michigan,2/7/2000,Rook,,Indianapolis Colts / 7th / 236th pick / 2023,WittJa01
93,Eric Johnson,25,DT,1,0,298,6-5,Missouri State,7/16/1998,1,,Indianapolis Colts / 5th / 159th pick / 2022,JohnEr01
43,Trevor Denbow,25,S,1,0,208,5-10,NavarroSMU,8/26/1998,1,,,DenbTr00
1,Josh Downs,22,WR,1,1,175,,North Carolina,8/12/2001,Rook,,Indianapolis Colts / 3rd / 79th pick / 2023,DownJo00
10,Gardner Minshew II,27,QB,1,0,225,6-1,Northwest Mississippi CCEast CarolinaWashington St.,5/16/1996,4,,Jacksonville Jaguars / 6th / 178th pick / 2019,MinsGa00
26,Evan Hull (IR),23,RB,1,0,210,5-11,Northwestern,10/26/2000,Rook,,Indianapolis Colts / 5th / 176th pick / 2023,HullEv00
95,Adetomiwa Adebawore,22,DE,0,0,280,,Northwestern,3/4/2001,Rook,,Indianapolis Colts / 4th / 110th pick / 2023,AdebAd00
56,Quenton Nelson,27,G,1,1,330,6-5,Notre Dame,3/19/1996,5,,Indianapolis Colts / 1st / 6th pick / 2018,NelsQu00
94,Tyquan Lewis,28,DE,1,0,277,6-3,Ohio St.,1/30/1995,5,,Indianapolis Colts / 2nd / 64th pick / 2018,LewiTy00
80,Jelani Woods (IR),25,TE,0,0,265,6-7,Oklahoma St.Virginia,10/9/1998,1,,Indianapolis Colts / 3rd / 73rd pick / 2022,WoodJe01
99,DeForest Buckner,29,DT,1,1,295,6-7,Oregon,3/17/1994,7,,San Francisco 49ers / 1st / 7th pick / 2016,BuckDe00
75,Will Fries,25,OL,1,1,309,6-6,Penn St.,4/4/1998,2,,Indianapolis Colts / 7th / 248th pick / 2021,FrieWi00
83,Kylen Granson,25,TE,1,0,242,6-2,RiceSMU,3/27/1998,2,,Indianapolis Colts / 4th / 127th pick / 2021,GranKy00
34,Chris Lammons (SUS),27,DB,0,0,182,5-10,South Carolina,1/31/1996,4,,,LammCh00
53,Shaquille Leonard,28,LB,1,1,230,6-2,South Carolina St.,7/27/1995,5,,Indianapolis Colts / 2nd / 36th pick / 2018,LeonDa00
44,Zaire Franklin,27,LB,1,1,235,6-0,Syracuse,7/2/1996,5,,Indianapolis Colts / 7th / 235th pick / 2018,FranZa00
45,E.J. Speed,28,LB,1,0,224,6-3,Tarleton St.,6/1/1995,4,,Indianapolis Colts / 5th / 164th pick / 2019,SpeeEJ00
92,Jacob Martin,28,DE,1,0,242,6-2,Temple,12/11/1995,5,,Seattle Seahawks / 6th / 186th pick / 2018,MartJa02
4,Sam Ehlinger,25,QB,0,0,225,6-3,Texas,9/30/1998,2,,Indianapolis Colts / 6th / 218th pick / 2021,EhliSa00
40,Jaylon Jones,21,CB,1,0,205,,Texas A&M,4/3/2002,Rook,,Indianapolis Colts / 7th / 221st pick / 2023,JoneJa13
11,Michael Pittman Jr.,26,WR,1,1,223,6-4,USC,10/5/1997,3,,Indianapolis Colts / 2nd / 34th pick / 2020,PittMi01
21,Zack Moss,26,RB,0,0,205,5-9,Utah,12/15/1997,3,,Buffalo Bills / 3rd / 86th pick / 2020,MossZa00
7,Matt Gay,29,K,1,0,232,6-0,Utah,3/15/1994,4,,Tampa Bay Buccaneers / 5th / 145th pick / 2019,GayxMa00
32,Julian Blackmon,25,S,1,1,187,6-0,Utah,8/24/1998,3,,Indianapolis Colts / 3rd / 85th pick / 2020,BlacJu01
23,Kenny Moore,28,CB,1,1,190,5-9,Valdosta St.,8/23/1995,6,,,MoorKe03
54,Dayo Odeyingbo,24,DE,1,0,276,6-6,Vanderbilt,9/24/1999,2,,Indianapolis Colts / 2nd / 54th pick / 2021,OdeyDa00
81,Mo Alie-Cox,30,TE,1,0,267,6-5,Virginia Commonwealth,9/19/1993,5,,,AlieMo00
91,Titus Leo (IR),24,DE,0,0,245,6-4,Wagner,8/26/1999,Rook,,Indianapolis Colts / 6th / 211th pick / 2023,LeoxTi00
65,Josh Sills,25,G,1,0,325,6-6,West VirginiaOklahoma St.,1/26/1998,1,,,SillJo00
62,Wesley French,27,C,1,0,307,6-4,Western Michigan,11/30/1996,Rook,,,FrenWe00
46,Luke Rhodes,31,LS,1,0,238,6-2,William & Mary,12/2/1992,7,,,RhodLu00
28,Jonathan Taylor (PUP),24,RB,0,0,226,5-10,Wisconsin,1/19/1999,3,,Indianapolis Colts / 2nd / 41st pick / 2020,TaylJo02
25,Rodney Thomas II,25,S,1,1,200,6-2,Yale,6/26/1998,1,,Indianapolis Colts / 7th / 239th pick / 2022,ThomRo07
